Using request distribution 'zipfian' a keyrange of [0 500000]
***************** properties *****************
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"readproportion"="0.95"
"operationcount"="500000"
"etcd.endpoints"="127.0.0.1:50051"
"insertproportion"="0"
"recordcount"="500000"
"threadcount"="8"
"updateproportion"="0.05"
"measurementtype"="histogram"
"dotransactions"="true"
"requestdistribution"="zipfian"
"etcd.dial_timeout"="2s"
"command"="run"
**********************************************
READ   - Takes(s): 200.0, Count: 269535, OPS: 1347.7, Avg(us): 5599, Min(us): 2320, Max(us): 119423, 50th(us): 5299, 90th(us): 7315, 95th(us): 8155, 99th(us): 10511, 99.9th(us): 26767, 99.99th(us): 75327
TOTAL  - Takes(s): 200.0, Count: 283665, OPS: 1418.4, Avg(us): 5631, Min(us): 2320, Max(us): 119423, 50th(us): 5339, 90th(us): 7331, 95th(us): 8171, 99th(us): 10543, 99.9th(us): 27551, 99.99th(us): 76223
UPDATE - Takes(s): 200.0, Count: 14130, OPS: 70.7, Avg(us): 6226, Min(us): 3488, Max(us): 119423, 50th(us): 5859, 90th(us): 7567, 95th(us): 8423, 99th(us): 11439, 99.9th(us): 40191, 99.99th(us): 117183
READ   - Takes(s): 210.0, Count: 282975, OPS: 1347.5, Avg(us): 5599, Min(us): 2320, Max(us): 119423, 50th(us): 5299, 90th(us): 7315, 95th(us): 8151, 99th(us): 10487, 99.9th(us): 27199, 99.99th(us): 77631
TOTAL  - Takes(s): 210.0, Count: 297847, OPS: 1418.4, Avg(us): 5631, Min(us): 2320, Max(us): 119423, 50th(us): 5339, 90th(us): 7327, 95th(us): 8163, 99th(us): 10527, 99.9th(us): 28047, 99.99th(us): 77951
UPDATE - Takes(s): 210.0, Count: 14872, OPS: 70.8, Avg(us): 6229, Min(us): 3488, Max(us): 119423, 50th(us): 5859, 90th(us): 7559, 95th(us): 8415, 99th(us): 11455, 99.9th(us): 40191, 99.99th(us): 117183
READ   - Takes(s): 220.0, Count: 295053, OPS: 1341.2, Avg(us): 5627, Min(us): 2320, Max(us): 119423, 50th(us): 5307, 90th(us): 7339, 95th(us): 8199, 99th(us): 10703, 99.9th(us): 29743, 99.99th(us): 80191
TOTAL  - Takes(s): 220.0, Count: 310514, OPS: 1411.5, Avg(us): 5658, Min(us): 2320, Max(us): 119423, 50th(us): 5347, 90th(us): 7355, 95th(us): 8215, 99th(us): 10759, 99.9th(us): 30623, 99.99th(us): 85951
UPDATE - Takes(s): 220.0, Count: 15461, OPS: 70.3, Avg(us): 6260, Min(us): 3488, Max(us): 119423, 50th(us): 5867, 90th(us): 7599, 95th(us): 8479, 99th(us): 12207, 99.9th(us): 43583, 99.99th(us): 114495
READ   - Takes(s): 230.0, Count: 308885, OPS: 1343.0, Avg(us): 5619, Min(us): 2260, Max(us): 119423, 50th(us): 5303, 90th(us): 7327, 95th(us): 8183, 99th(us): 10679, 99.9th(us): 29103, 99.99th(us): 80191
TOTAL  - Takes(s): 230.0, Count: 325091, OPS: 1413.5, Avg(us): 5650, Min(us): 2260, Max(us): 119423, 50th(us): 5343, 90th(us): 7343, 95th(us): 8199, 99th(us): 10719, 99.9th(us): 30223, 99.99th(us): 80255
UPDATE - Takes(s): 230.0, Count: 16206, OPS: 70.5, Avg(us): 6245, Min(us): 3488, Max(us): 119423, 50th(us): 5859, 90th(us): 7575, 95th(us): 8455, 99th(us): 12087, 99.9th(us): 40767, 99.99th(us): 114495
READ   - Takes(s): 240.0, Count: 322567, OPS: 1344.1, Avg(us): 5615, Min(us): 2260, Max(us): 119423, 50th(us): 5303, 90th(us): 7319, 95th(us): 8167, 99th(us): 10631, 99.9th(us): 29135, 99.99th(us): 86335
TOTAL  - Takes(s): 240.0, Count: 339468, OPS: 1414.5, Avg(us): 5646, Min(us): 2260, Max(us): 119423, 50th(us): 5339, 90th(us): 7331, 95th(us): 8187, 99th(us): 10679, 99.9th(us): 30239, 99.99th(us): 92031
UPDATE - Takes(s): 240.0, Count: 16901, OPS: 70.4, Avg(us): 6241, Min(us): 3488, Max(us): 119423, 50th(us): 5855, 90th(us): 7559, 95th(us): 8431, 99th(us): 12087, 99.9th(us): 40767, 99.99th(us): 114495
READ   - Takes(s): 250.0, Count: 335406, OPS: 1341.7, Avg(us): 5625, Min(us): 2260, Max(us): 119423, 50th(us): 5307, 90th(us): 7327, 95th(us): 8199, 99th(us): 10719, 99.9th(us): 29519, 99.99th(us): 85951
TOTAL  - Takes(s): 250.0, Count: 352973, OPS: 1411.9, Avg(us): 5656, Min(us): 2260, Max(us): 119423, 50th(us): 5343, 90th(us): 7343, 95th(us): 8207, 99th(us): 10775, 99.9th(us): 30303, 99.99th(us): 89983
UPDATE - Takes(s): 250.0, Count: 17567, OPS: 70.3, Avg(us): 6255, Min(us): 3488, Max(us): 119423, 50th(us): 5863, 90th(us): 7571, 95th(us): 8455, 99th(us): 12399, 99.9th(us): 43583, 99.99th(us): 114495
READ   - Takes(s): 260.0, Count: 348683, OPS: 1341.1, Avg(us): 5627, Min(us): 2260, Max(us): 119423, 50th(us): 5311, 90th(us): 7335, 95th(us): 8199, 99th(us): 10727, 99.9th(us): 28943, 99.99th(us): 80319
TOTAL  - Takes(s): 260.0, Count: 366953, OPS: 1411.4, Avg(us): 5658, Min(us): 2260, Max(us): 119423, 50th(us): 5351, 90th(us): 7351, 95th(us): 8215, 99th(us): 10775, 99.9th(us): 29919, 99.99th(us): 86335
UPDATE - Takes(s): 260.0, Count: 18270, OPS: 70.3, Avg(us): 6257, Min(us): 3488, Max(us): 119423, 50th(us): 5871, 90th(us): 7579, 95th(us): 8463, 99th(us): 12335, 99.9th(us): 43583, 99.99th(us): 114495
READ   - Takes(s): 270.0, Count: 361968, OPS: 1340.7, Avg(us): 5629, Min(us): 2108, Max(us): 119423, 50th(us): 5311, 90th(us): 7331, 95th(us): 8191, 99th(us): 10743, 99.9th(us): 29423, 99.99th(us): 92095
TOTAL  - Takes(s): 270.0, Count: 380928, OPS: 1410.9, Avg(us): 5661, Min(us): 2108, Max(us): 119423, 50th(us): 5351, 90th(us): 7347, 95th(us): 8207, 99th(us): 10791, 99.9th(us): 30271, 99.99th(us): 92095
UPDATE - Takes(s): 270.0, Count: 18960, OPS: 70.2, Avg(us): 6267, Min(us): 3488, Max(us): 119423, 50th(us): 5871, 90th(us): 7579, 95th(us): 8479, 99th(us): 12343, 99.9th(us): 45311, 99.99th(us): 114495
READ   - Takes(s): 280.0, Count: 372688, OPS: 1331.1, Avg(us): 5670, Min(us): 2108, Max(us): 119487, 50th(us): 5323, 90th(us): 7371, 95th(us): 8263, 99th(us): 11175, 99.9th(us): 35455, 99.99th(us): 99455
TOTAL  - Takes(s): 280.0, Count: 392187, OPS: 1400.7, Avg(us): 5702, Min(us): 2108, Max(us): 119487, 50th(us): 5359, 90th(us): 7387, 95th(us): 8279, 99th(us): 11247, 99.9th(us): 36671, 99.99th(us): 99583
UPDATE - Takes(s): 280.0, Count: 19499, OPS: 69.6, Avg(us): 6301, Min(us): 3488, Max(us): 119423, 50th(us): 5883, 90th(us): 7623, 95th(us): 8551, 99th(us): 12927, 99.9th(us): 47967, 99.99th(us): 114495
READ   - Takes(s): 290.0, Count: 387049, OPS: 1334.7, Avg(us): 5655, Min(us): 2108, Max(us): 119487, 50th(us): 5311, 90th(us): 7351, 95th(us): 8239, 99th(us): 11135, 99.9th(us): 34975, 99.99th(us): 99327
TOTAL  - Takes(s): 290.0, Count: 407288, OPS: 1404.5, Avg(us): 5686, Min(us): 2108, Max(us): 119487, 50th(us): 5347, 90th(us): 7367, 95th(us): 8255, 99th(us): 11199, 99.9th(us): 36031, 99.99th(us): 99519
UPDATE - Takes(s): 290.0, Count: 20239, OPS: 69.8, Avg(us): 6285, Min(us): 3488, Max(us): 119423, 50th(us): 5867, 90th(us): 7599, 95th(us): 8535, 99th(us): 12847, 99.9th(us): 47455, 99.99th(us): 114495
READ   - Takes(s): 300.0, Count: 401766, OPS: 1339.3, Avg(us): 5636, Min(us): 2108, Max(us): 119487, 50th(us): 5295, 90th(us): 7327, 95th(us): 8207, 99th(us): 11047, 99.9th(us): 34815, 99.99th(us): 99327
TOTAL  - Takes(s): 300.0, Count: 422750, OPS: 1409.2, Avg(us): 5667, Min(us): 2108, Max(us): 119487, 50th(us): 5331, 90th(us): 7343, 95th(us): 8223, 99th(us): 11127, 99.9th(us): 35103, 99.99th(us): 99455
UPDATE - Takes(s): 300.0, Count: 20984, OPS: 70.0, Avg(us): 6261, Min(us): 3332, Max(us): 119423, 50th(us): 5855, 90th(us): 7571, 95th(us): 8503, 99th(us): 12751, 99.9th(us): 47359, 99.99th(us): 114495
